leagueCode,seasonId,teamId,teamName,teamCity,teamTricode,teamNameInternational,teamCityInternational,teamTricodeInternational,division,conference,status,timezone
00,42022,1610612737,Hawks,Atlanta,ATL,Hawks,Atlanta,ATL,Southeast,East,ACTIVE,America/New_York
00,42022,1610612738,Celtics,Boston,BOS,Celtics,Boston,BOS,Atlantic,East,ACTIVE,America/New_York
00,42022,1610612739,Cavaliers,Cleveland,CLE,Cavaliers,Cleveland,CLE,Central,East,ACTIVE,America/New_York
00,42022,1610612740,Pelicans,New Orleans,NOP,Pelicans,New Orleans,NOP,Southwest,West,ACTIVE,America/Chicago
00,42022,1610612741,Bulls,Chicago,CHI,Bulls,Chicago,CHI,Central,East,ACTIVE,America/Chicago
00,42022,1610612743,Nuggets,Denver,DEN,Nuggets,Denver,DEN,Northwest,West,ACTIVE,America/Denver
00,42022,1610612744,Warriors,Golden State,GSW,Warriors,Golden State,GSW,Pacific,West,ACTIVE,America/Los_Angeles
00,42022,1610612746,Clippers,LA,LAC,Clippers,LA,LAC,Pacific,West,ACTIVE,America/Los_Angeles
00,42022,1610612747,Lakers,Los Angeles,LAL,Lakers,Los Angeles,LAL,Pacific,West,ACTIVE,America/Los_Angeles
00,42022,1610612748,Heat,Miami,MIA,Heat,Miami,MIA,Southeast,East,ACTIVE,America/New_York
00,42022,1610612749,Bucks,Milwaukee,MIL,Bucks,Milwaukee,MIL,Central,East,ACTIVE,America/Chicago
00,42022,1610612750,Timberwolves,Minnesota,MIN,Timberwolves,Minnesota,MIN,Northwest,West,ACTIVE,America/Chicago
00,42022,1610612751,Nets,Brooklyn,BKN,Nets,Brooklyn,BKN,Atlantic,East,ACTIVE,America/New_York
00,42022,1610612752,Knicks,New York,NYK,Knicks,New York,NYK,Atlantic,East,ACTIVE,America/New_York
00,42022,1610612755,76ers,Philadelphia,PHI,76ers,Philadelphia,PHI,Atlantic,East,ACTIVE,America/New_York
00,42022,1610612756,Suns,Phoenix,PHX,Suns,Phoenix,PHX,Pacific,West,ACTIVE,America/Phoenix
00,42022,1610612758,Kings,Sacramento,SAC,Kings,Sacramento,SAC,Pacific,West,ACTIVE,America/Los_Angeles
00,42022,1610612760,Thunder,Oklahoma City,OKC,Thunder,Oklahoma City,OKC,Northwest,West,ACTIVE,America/Chicago
00,42022,1610612761,Raptors,Toronto,TOR,Raptors,Toronto,TOR,Atlantic,East,ACTIVE,America/Toronto
00,42022,1610612763,Grizzlies,Memphis,MEM,Grizzlies,Memphis,MEM,Southwest,West,ACTIVE,America/Chicago
